Gap ID,url_a,title_a,Content Excerpt A,Word Count A,url_b,title_b,Content Excerpt B,Word Count B,Gap Description (by AI),Gap Description (by me),Category,Suggested Article Title (s),Suggested Article Title,Reason for Article Title,Priority,Rationale
GAP-001,https://help.zipboard.co/article/332-difference-between-embedded-annotations-and-browser-extension,Difference Between Embedded Annotations And Browser Extension,Difference Between the Embedded Annotations and Browser Extension. - zipBoard Help Difference Between the Embedded Annotations and Browser Extension. The only major difference between embedded annotations and the browser extension is that you no longer have to download and use the zipBoard extension...,265,https://help.zipboard.co/category/187-tasks,Tasks,"API for Issues (Task) - zipBoard Help API for Issues (Task) Welcome to the zipBoard platform REST API reference. This API is essential for connecting remotely with zipBoard, regardless of whether you are building an application, scripting interactions with zipBoard or building some other integration...",1020,Explaining how to use embedded annotations for task management within the zipBoard platform.,,How-to / Guide,Embedded Annotations and Task Management | Managing Tasks with Embedded Annotations | Using Embedded Annotations for Task Creation | Task Creation and Management with Embedded Annotations | Embedded Annotations for Task Workflow,Task Creation and Management with Embedded Annotations,Selected because it is concise and uses terms present in both articles.,Medium,"The API for tasks in the zipBoard platform allows users to remotely interact with the platform, enabling automation and integration of task management into their workflow, reducing manual effort and potential errors."
GAP-002,https://help.zipboard.co/article/331-another-way-to-receive-client-feedback,Another Way To Receive Client Feedback,"My clients aren’t comfortable downloading a browser extension, is there another way to receive feedback? - zipBoard Help My clients aren’t comfortable downloading a browser extension, is there another way to receive feedback? Yes! We’ve had countless users telling us how their client feedback and co...",261,https://help.zipboard.co/category/186-files,Files,"API for Files (URL) - zipBoard Help API for Files (URL) Welcome to the zipBoard platform REST API reference. This API is essential for connecting remotely with zipBoard, regardless of whether you are building an application, scripting interactions with zipBoard or building some other integration. Th...",853,Explaining how to use embedded annotations for file sharing without browser extension in zipBoard,,Other,Embedded Annotations for File Sharing | Sharing Files Without Browser Extension | Using Embedded Annotations for Client Feedback | File Sharing with Extension-Free Review Experience | How to Share Files Directly with No Friction,File Sharing with Extension-Free Review Experience,Selected because it is concise and uses terms present in both articles.,Medium,"The absence of information on using embedded annotations for file sharing without a browser extension in zipBoard matters for users as it provides an extension-free review experience, reducing friction and facilitating collaboration with non-technical stakeholders."
GAP-003,https://help.zipboard.co/article/418-new-update-on-ai-powered-statuses,New Update On Ai Powered Statuses,"New Update on AI-Powered Statuses - zipBoard Help New Update on AI-Powered Statuses With our latest update, we've introduced AI-powered statuses to streamline your workflow. This feature leverages top suggestions from ChatGPT, offering you pre-defined statuses relevant to your project. Here's a guid...",664,https://help.zipboard.co/article/76-how-do-i-create-an-organization-i-don-t-see-the-option-anywhere,How Do I Create An Organization I Don T See The Option Anywhere,"How do I create an organization? I don’t see the option anywhere. - zipBoard Help How do I create an organization? I don’t see the option anywhere. The Organization feature is not publicly enabled for everyone. If you need it, you can send us a request on support@zipboard.co and we’ll enable it for ...",116,Explaining how to create an organization for AI-Powered Statuses feature access,,How-to / Guide,How to Create an Organization for AI-Powered Statuses | Organization Creation for AI-Powered Statuses | Accessing Organizations in AI-Powered Statuses | Creating Organizations for ZipBoard's AI-Powered Statuses | Setting Up Organizations for AI-Powered Statuses,How to Create an Organization for AI-Powered Statuses,Selected because it is concise and uses terms present in both articles.,Medium,"The absence of clear instructions on how to create an organization for AI-Powered Statuses feature access may hinder users from effectively managing their projects and utilizing the new AI suggestions, potentially increasing support load due to user inquiries about this process."
GAP-004,https://help.zipboard.co/article/388-how-to-review-a-zip-file,How To Review A Zip File,"How to Review a ZIP file - zipBoard Help How to Review a ZIP file For a comprehensive guide on how to upload, review, and manager ZIP files, watch this video. Did this answer your question? Thanks for the feedback There was a problem submitting your feedback. Please try again later. Yes No Still nee...",166,https://help.zipboard.co/category/185-projects,Projects,"API for Project - zipBoard Help API for Project Welcome to the zipBoard platform REST API reference. This API is essential for connecting remotely with zipBoard, regardless of whether you are building an application, scripting interactions with zipBoard or building some other integration. This page ...",963,A guide on how to use the zipBoard API for managing and reviewing ZIP files within projects.,,How-to / Guide,Managing ZIP Files with zipBoard API | Using API for Project Management in zipBoard | API-Based Review of ZIP Files in zipBoard | zipBoard API for Project and ZIP File Management | Integrating API for Effective ZIP File Reviews in zipBoard,Using API for Project Management in zipBoard,Selected because it is concise and uses terms present in both articles.,Medium,"The lack of a guide on using the zipBoard API for managing and reviewing ZIP files within projects significantly limits users' ability to automate and streamline their workflows, potentially increasing support load due to manual processes."
GAP-005,https://help.zipboard.co/article/134-how-to-use-zipboard-for-beta-testing,How To Use Zipboard For Beta Testing,zipBoard for Beta testing - zipBoard Help zipBoard for Beta testing zipBoard is great for testing out products during the beta phase in a software development cycle. The aim of the beta phase is to let a small group of the target audience sample the product and collect feedback from their reviews. W...,714,https://help.zipboard.co/article/183-http-status-codes,HTTP Status Codes,HTTP Status Codes - zipBoard Help HTTP Status Codes The following document consists of the HTTP Status Codes that you might encounter while using the API. HTTP Status Code Description 200 OK Successful. 201 Created Created. 400 Bad Request Bad input parameter. Error message should indicate which one...,178,Explaining how to use HTTP Status Codes within the zipBoard API for Beta testing feedback analysis,,How-to / Guide,Using HTTP Status Codes in zipBoard API for Feedback Analysis | zipBoard API and HTTP Status Codes for Beta Testing | Analyzing Beta Testing Feedback with zipBoard API HTTP Status Codes | HTTP Status Codes Integration with zipBoard API for Beta Testing | Beta Testing Feedback Analysis using zipBoard API HTTP Status Codes,HTTP Status Codes Integration with zipBoard API for Beta Testing,Selected because it is concise and uses terms present in both articles.,Medium,"The absence of clear instructions on how to use HTTP Status Codes within the zipBoard API for Beta testing feedback analysis may lead to confusion for users during the feedback collection process, potentially impacting task completion and clarity, as well as increasing support load due to user inquiries about error messages."
GAP-001,https://help.zipboard.co/article/332-difference-between-embedded-annotations-and-browser-extension,Difference Between Embedded Annotations And Browser Extension,Difference Between the Embedded Annotations and Browser Extension. - zipBoard Help Difference Between the Embedded Annotations and Browser Extension. The only major difference between embedded annotations and the browser extension is that you no longer have to download and use the zipBoard extension...,265,https://help.zipboard.co/category/186-files,Files,"API for Files (URL) - zipBoard Help API for Files (URL) Welcome to the zipBoard platform REST API reference. This API is essential for connecting remotely with zipBoard, regardless of whether you are building an application, scripting interactions with zipBoard or building some other integration. Th...",853,Explaining how to use API for uploading files in embedded annotations for seamless and secure review experience,,How-to / Guide,API for Uploading Files with Embedded Annotations | Embedded Annotations: Uploading Files via API | Seamless File Uploads with Embedded Annotations API | Using API to Upload Files in zipBoard's Embedded Annotations | Uploading Files in Embedded Annotations: A Guide to the API,Using API to Upload Files in zipBoard's Embedded Annotations,Selected because it is concise and uses terms present in both articles.,Medium,"The API for uploading files in embedded annotations matters as it allows users to interact with the platform remotely, enabling seamless and secure file management without requiring a browser extension."
GAP-002,https://help.zipboard.co/article/331-another-way-to-receive-client-feedback,Another Way To Receive Client Feedback,"My clients aren’t comfortable downloading a browser extension, is there another way to receive feedback? - zipBoard Help My clients aren’t comfortable downloading a browser extension, is there another way to receive feedback? Yes! We’ve had countless users telling us how their client feedback and co...",261,https://help.zipboard.co/category/187-tasks,Tasks,"API for Issues (Task) - zipBoard Help API for Issues (Task) Welcome to the zipBoard platform REST API reference. This API is essential for connecting remotely with zipBoard, regardless of whether you are building an application, scripting interactions with zipBoard or building some other integration...",1020,"Explaining how to use the API for Tasks (Issues) in zipBoard to create, fetch, and manage tasks related to projects and files",,Other,Using API for Task Management in zipBoard | Managing Tasks with zipBoard API | API Guide for zipBoard Tasks | Creating and Managing Tasks via zipBoard API | zipBoard API for Issues (Tasks) Management,zipBoard API for Issues (Tasks) Management,Selected because it is concise and uses terms present in both articles.,Medium,"Understanding how to use the API for managing tasks in zipBoard is crucial for users seeking to automate and streamline their project workflows, reducing manual effort and improving task visibility and collaboration."
GAP-003,https://help.zipboard.co/article/418-new-update-on-ai-powered-statuses,New Update On Ai Powered Statuses,"New Update on AI-Powered Statuses - zipBoard Help New Update on AI-Powered Statuses With our latest update, we've introduced AI-powered statuses to streamline your workflow. This feature leverages top suggestions from ChatGPT, offering you pre-defined statuses relevant to your project. Here's a guid...",664,https://help.zipboard.co/article/77-why-am-i-added-to-all-the-projects-in-my-organization,Why Am I Added To All The Projects In My Organization,"Why am I added to all the projects in my organization? - zipBoard Help Why am I added to all the projects in my organization? If you’re the owner of the organization, then any time a manager creates a project in your organization you will be added to it by default. Did this answer your question? Tha...",109,Explanation of how to manage AI-powered statuses for users added to all projects in an organization,,How-to / Guide,Managing AI Statuses for Organization-Wide Users | AI Status Management for Multiple Projects | How to Control AI Statuses Across All Projects | Organization-Level AI Status Management Guide | Managing AI Statuses for Default Added Users,Organization-Level AI Status Management Guide,Selected because it is concise and uses terms present in both articles.,Medium,"The introduction of AI-powered statuses across all projects in an organization significantly enhances task completion and project management efficiency for users, as it provides pre-defined status suggestions relevant to various industries, reducing the need for manual status creation and improving overall clarity."
GAP-004,https://help.zipboard.co/article/330-annotate-content-without-using-extension,Annotate Content Without Using Extension,"Can I Annotate Content Without Using the Extension? - zipBoard Help Can I Annotate Content Without Using the Extension? Yes , with our new embedded annotations update , you can now annotate content without using the extension. This lets you review content such as PDFs, images, videos, and SCORM cont...",272,https://help.zipboard.co/category/185-projects,Projects,"API for Project - zipBoard Help API for Project Welcome to the zipBoard platform REST API reference. This API is essential for connecting remotely with zipBoard, regardless of whether you are building an application, scripting interactions with zipBoard or building some other integration. This page ...",963,Explaining how to annotate projects using the embedded annotations feature in zipBoard,,How-to / Guide,Embedded Annotations for Projects | Annotating Projects Without Extension | Using Embedded Annotations on Projects | Project Annotation with No Extension | zipBoard's Embedded Annotations for Project Review,zipBoard's Embedded Annotations for Project Review,Selected because it is concise and uses terms present in both articles.,Medium,"The embedded annotations feature in zipBoard allows users to review and annotate various content types (PDFs, images, videos, SCORM content) without the need for a browser extension, streamlining the review process and reducing potential support issues."
GAP-005,https://help.zipboard.co/article/446-learning-design-template-for-elearning-content-reviews,Learning Design Template For Elearning Content Reviews,"Learning Design Template for eLearning Content Reviews - zipBoard Help Learning Design Template for eLearning Content Reviews Instructional designers, SMEs, and project managers often struggle with scattered feedback, version control issues, and lengthy approval cycles when developing eLearning cour...",841,https://help.zipboard.co/article/76-how-do-i-create-an-organization-i-don-t-see-the-option-anywhere,How Do I Create An Organization I Don T See The Option Anywhere,"How do I create an organization? I don’t see the option anywhere. - zipBoard Help How do I create an organization? I don’t see the option anywhere. The Organization feature is not publicly enabled for everyone. If you need it, you can send us a request on support@zipboard.co and we’ll enable it for ...",116,A guide on how to create an organization in zipBoard for effective collaboration during eLearning content reviews using the Learning Design Template.,,How-to / Guide,Creating an Organization for eLearning Collaboration | Setting Up Your Organization for zipBoard's Learning Design Template | Organization Setup for Effective eLearning Reviews | How to Create an Organization in zipBoard for eLearning Content | Establishing Your Organization for zipBoard's eLearning Workflow,Setting Up Your Organization for zipBoard's Learning Design Template,Selected because it is concise and uses terms present in both articles.,Medium,"The guide on creating an organization in zipBoard is crucial for effective collaboration during eLearning content reviews as it streamlines the process for multiple stakeholders, reducing scattered feedback, version control issues, and lengthy approval cycles."
